"","","Production","","","","","","","","",""
"Crop","Season","2014-15","2015-16","2016-17","2017-18","2018-19","2019-20","2020-21","2021-22","2022-23","2023-24"
"Rice","Kharif","913.92","914.13","963.03","971.35","1020.4","1022.77","1052.08","1110.01","1105.12","1114.58"
"Rice","Rabi","140.91","129.95","133.96","156.22","144.38","165.94","191.6","184.71","150.04","123.57"
"Rice","Summer","","","","","","","","","102.4",""
"Rice","Total","1054.82","1044.08","1096.98","1127.58","1164.78","1188.7","1243.68","1294.71","1357.55","1238.15"
"Wheat","Rabi","865.27","922.88","985.1","998.7","1035.96","1078.61","1095.86","1077.42","1105.54","1120.19"
"Maize","Kharif","170.14","160.53","189.19","201.18","194.14","194.29","215.55","226.81","236.74","227.2"
"Maize","Rabi","71.59","65.14","69.81","86.34","83.02","93.37","100.92","110.49","116.9","97.5"
"Maize","Summer","","","","","","","","","27.21",""
"Maize","Total","241.73","225.67","259","287.53","277.15","287.66","316.47","337.3","380.85","324.7"
"Barley","Rabi","16.13","14.38","17.47","17.81","16.33","17.22","16.56","13.71","19.13","22.24"
"Jowar","Kharif","23","18.16","19.64","22.74","17.35","16.97","19.86","15.98","14.8","15.46"
"Jowar","Rabi","31.45","24.22","26.04","25.3","17.4","30.75","28.26","25.52","23.22","24.88"
"Jowar","Summer","","","","","","","","","0.13",""
"Jowar","Total","54.45","42.38","45.68","48.03","34.75","47.72","48.12","41.51","38.14","40.34"
"Bajra","Kharif","91.84","80.67","97.3","92.09","86.64","103.63","108.63","97.81","103.49","95.31"
"Bajra","Summer","","","","","","","","","10.82",""
"Bajra","Total","91.84","80.67","97.3","92.09","86.64","103.63","108.63","97.81","114.31","95.31"
"Ragi","Kharif","20.61","18.22","13.85","19.85","12.39","17.55","19.98","17.01","16.91","13.86"
"Ragi","Total","20.61","18.22","13.85","19.85","12.39","17.55","19.98","17.01","16.91","13.86"
"Small Millets","Kharif","3.86","3.91","4.42","4.39","3.33","3.71","3.47","3.67","3.84","4.29"
"Tur","Kharif","28.07","25.61","48.73","42.9","33.15","38.92","43.16","42.2","33.12","33.39"
"Gram","Rabi","73.32","70.58","93.78","113.79","99.38","110.78","119.11","135.44","122.67","121.61"
"Urad","Kharif","12.82","12.5","21.76","27.51","23.63","13.3","15.07","18.65","17.68","15.5"
"Urad","Rabi","6.79","6.96","6.55","7.41","6.97","7.52","7.23","9.11","6.33","5.05"
"Urad","Summer","","","","","","","","","2.3",""
"Urad","Total","19.61","19.45","28.32","34.92","30.6","20.81","22.3","27.76","26.31","20.55"
"Moong","Kharif","8.67","10","16.43","14.33","17.84","18.26","19.96","14.8","17.18","14.05"
"Moong","Rabi","6.36","5.93","5.22","5.9","6.71","6.83","10.89","16.86","1.1","1.01"
"Moong","Summer","","","","","","","","","18.48",""
"Moong","Total","15.03","15.93","21.65","20.23","24.55","25.09","30.85","31.66","36.76","15.06"
"Lentil","Kharif","","9.76","","","","","","","",""
"Lentil","Rabi","10.35","","12.24","16.22","12.28","11.03","14.94","12.69","15.59","16.36"
"Lentil","Total","10.35","9.76","12.24","16.22","12.28","11.03","14.94","12.69","15.59","16.36"
"Other Pulses","Kharif","7.76","7.2","8.89","8.31","6.29","8.73","7.99","6.69","8.24","8.23"
"Other Pulses","Rabi","17.39","14.71","17.68","17.78","14.5","14.89","16.28","16.58","17.9","19.22"
"Other Pulses","Total","25.15","21.91","26.57","26.1","20.79","23.62","24.27","23.27","26.14","27.46"
"Total Pulses","Kharif","57.33","65.06","95.82","93.06","80.91","79.21","86.18","82.35","76.21","71.18"
"Total Pulses","Rabi","114.22","98.17","135.47","161.1","139.85","151.04","168.45","190.67","163.58","163.24"
"Total Pulses","Summer","","","","","","","","","20.79",""
"Total Pulses","Total","171.54","163.23","231.29","254.16","220.76","230.25","254.63","273.02","260.58","234.42"
"Total Food Grains","Kharif","1280.69","1260.68","1383.25","1404.66","1415.16","1438.12","1505.76","1553.64","1557.11","1541.87"
"Total Food Grains","Rabi","1239.56","1254.74","1367.84","1445.47","1436.93","1536.92","1601.65","1602.52","1578.41","1551.61"
"Total Food Grains","Summer","","","","","","","","","161.35",""
"Total Food Grains","Total","2520.25","2515.42","2751.1","2850.14","2852.09","2975.04","3107.42","3156.16","3296.87","3093.49"
"Groundnut","Kharif","59.3","53.68","60.48","75.95","53.87","83.89","85.28","84.34","85.62","79.1"
"Groundnut","Rabi","14.71","13.66","14.14","16.57","13.4","15.63","17.16","17.01","11.03","7.43"
"Groundnut","Summer","","","","","","","","","6.32",""
"Groundnut","Total","74.02","67.33","74.62","92.53","67.27","99.52","102.44","101.35","102.97","86.54"
"Castorseed","Kharif","18.7","17.52","13.76","15.68","11.97","18.42","16.47","16.19","19.8","18.79"
"Castorseed","Total","18.7","17.52","13.76","15.68","11.97","18.42","16.47","16.19","19.8","18.79"
"Sesamum","Kharif","8.28","8.5","7.47","7.55","6.89","6.57","8.17","7.89","3.92","3.96"
"Sesamum","Rabi","","","","","","","","","0.31","0.33"
"Sesamum","Summer","","","","","","","","","3.79",""
"Sesamum","Total","8.28","8.5","7.47","7.55","6.89","6.57","8.17","7.89","8.02","4.29"
"Nigerseed","Kharif","0.76","0.74","0.85","0.7","0.45","0.41","0.42","0.33","0.29","0.29"
"Nigerseed","Total","0.76","0.74","0.85","0.7","0.45","0.41","0.42","0.33","0.29","0.29"
"Soybean","Kharif","103.74","85.7","131.59","109.33","132.68","112.26","126.1","129.87","149.85","125.62"
"Sunflower","Kharif","1.43","0.66","0.98","0.85","0.9","0.92","0.78","1.11","2.04","0.66"
"Sunflower","Rabi","2.91","2.3","1.53","1.37","1.26","1.21","1.51","1.39","1.17","1.01"
"Sunflower","Summer","","","","","","","","","0.43",""
"Sunflower","Total","4.34","2.96","2.51","2.22","2.16","2.13","2.28","2.5","3.63","1.67"
"Rapeseed & Mustard","Rabi","62.82","67.97","79.17","84.3","92.56","91.24","102.1","119.63","126.43","126.96"
"Linseed","Rabi","1.55","1.25","1.84","1.74","0.99","1.21","1.11","1.26","1.67","1.35"
"Safflower","Rabi","0.9","0.53","0.94","0.55","0.25","0.44","0.36","0.61","0.9","0.47"
"Total Oil Seeds","Kharif","192.21","166.8","215.13","210.06","206.76","222.47","237.23","239.72","261.5","228.42"
"Total Oil Seeds","Rabi","82.9","85.71","97.62","104.53","108.46","109.72","122.24","139.91","141.51","137.56"
"Total Oil Seeds","Summer","","","","","","","","","10.54",""
"Total Oil Seeds","Total","275.11","252.51","312.76","314.59","315.22","332.19","359.46","379.63","413.55","365.99"
"Sugarcane","Kharif","3623.33","3484.48","3060.69","3799.05","4054.16","3705","4053.99","4394.25","4905.33","4464.3"
"Sugarcane","Total","3623.33","3484.48","3060.69","3799.05","4054.16","3705","4053.99","4394.25","4905.33","4464.3"
"Cotton","Kharif","348.05","300.05","325.77","328.05","280.42","360.65","352.48","311.18","336.6","323.11"
"Jute","Kharif","106.18","99.4","104.32","95.91","94.97","94.46","89.53","97.62","89.89","92.17"
"Mesta","Kharif","5.08","5.83","5.3","4.42","3.23","4.31","4.02","3.87","4.03","4.15"
"Tobacco","Kharif","","","","","","","","8.18","7.7",""
"Sannhemp","Kharif","","","","","","","","0.51","0.46",""
"Guarseed","Kharif","","","","","","","","11.83","17.87",""
